cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow
133000,24594000,24543000,YES,25.0,18.0,12.0,NO,163574.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
133000,24594000,24543000,YES,25.0,18.0,12.0,NO,163574.0,BIKE LANE,,NO
134000,24543000,24540000,YES,25.0,13.0,12.0,NO,157739.0,BIKE LANE,GREEN PAINT,NO
134000,24543000,24540000,YES,25.0,13.0,12.0,NO,157739.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
135000,24540000,24539000,YES,25.0,7.0,6.0,NO,116962.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
135000,24540000,24539000,YES,25.0,7.0,6.0,NO,116962.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
136000,24539000,24535000,YES,25.0,15.0,13.0,NO,55550.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
136000,24539000,24535000,YES,25.0,15.0,13.0,NO,55550.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
137000,24535000,24519000,YES,25.0,8.0,5.0,NO,58439.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
137000,24535000,24519000,YES,25.0,8.0,5.0,NO,58439.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
138000,24519000,24511000,YES,25.0,20.0,14.0,NO,60659.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
138000,24519000,24511000,YES,25.0,20.0,14.0,NO,60659.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
139000,24511000,24510000,YES,25.0,25.0,17.0,NO,62002.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
139000,24511000,24510000,YES,25.0,25.0,17.0,NO,62002.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
140000,24510000,24492000,YES,25.0,18.0,16.0,NO,54567.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
140000,24510000,24492000,YES,25.0,18.0,16.0,NO,54567.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
141000,24492000,24490000,YES,25.0,15.0,10.0,NO,45858.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
141000,24492000,24490000,YES,25.0,15.0,10.0,NO,45858.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
142000,24490000,24489000,YES,25.0,10.0,5.0,NO,44981.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
142000,24490000,24489000,YES,25.0,10.0,5.0,NO,44981.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
143000,24489000,24486000,YES,25.0,13.0,6.0,NO,43375.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
143000,24489000,24486000,YES,25.0,13.0,6.0,NO,43375.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
144000,24486000,24484000,YES,25.0,11.0,4.0,NO,37933.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
144000,24486000,24484000,YES,25.0,11.0,4.0,NO,37933.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
145000,24484000,24483000,YES,25.0,9.0,4.0,NO,38522.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
145000,24484000,24483000,YES,25.0,9.0,4.0,NO,38522.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
146000,24483000,23803000,YES,25.0,16.0,14.0,NO,38522.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
146000,24483000,23803000,YES,25.0,16.0,14.0,NO,38522.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
147000,23803000,23800000,YES,25.0,39.0,40.0,NO,30051.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
147000,23803000,23800000,YES,25.0,39.0,40.0,NO,30051.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
148000,23800000,23589000,YES,25.0,18.0,17.0,NO,27487.0,BIKE LANE,,NO
148000,23800000,23589000,YES,25.0,18.0,17.0,NO,27487.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
150000,51402000,27584000,NO,25.0,0.0,,NO,23935.0,,,
151000,27584000,27583000,NO,25.0,0.0,0.0,NO,37590.0,,,
152000,27583000,27582000,NO,25.0,0.0,4.0,NO,37590.0,,,
153000,27582000,27247000,NO,25.0,8.0,32.0,NO,91965.0,,,
154000,27247000,27245000,NO,25.0,11.0,38.0,NO,95177.0,,,
155000,27245000,27236000,NO,25.0,0.0,36.0,NO,84415.0,,,
156000,27236000,27235000,NO,25.0,1.0,0.0,NO,87684.0,,,
157000,27235000,27234000,NO,25.0,1.0,35.0,NO,37761.0,,,
158000,27234000,27233000,NO,25.0,0.0,0.0,NO,34549.0,,,
159000,33560000,27193000,YES,25.0,0.0,0.0,NO,27124.0,BIKE ROUTE,,YES
159000,33560000,27193000,YES,25.0,0.0,0.0,NO,27124.0,BIKE ROUTE,,YES
160000,27193000,27081000,YES,25.0,0.0,18.0,NO,32292.0,BIKE ROUTE,,YES
160000,27193000,27081000,YES,25.0,0.0,18.0,NO,32292.0,BIKE ROUTE,,YES
161000,27081000,27079000,NO,25.0,0.0,0.0,NO,30503.0,,,
162000,27079000,27065000,NO,25.0,13.0,0.0,NO,35628.0,,,
163000,30738000,24639000,NO,25.0,5.0,5.0,YES,267849.0,,,
164000,24639000,24616000,NO,25.0,1.0,0.0,YES,225064.0,,,
165000,24616000,24613000,NO,25.0,4.0,4.0,YES,249431.0,,,
166000,24613000,24609000,NO,25.0,7.0,6.0,YES,197387.0,,,
167000,24609000,24590000,NO,25.0,17.0,17.0,YES,211419.0,,,
168000,24590000,24587000,NO,25.0,1.0,0.0,YES,112688.0,,,
169000,24587000,24583000,NO,25.0,0.0,0.0,YES,85207.0,,,
170000,24583000,24592000,NO,25.0,34.0,32.0,YES,78895.0,,,
171000,24592000,24513000,NO,25.0,14.0,12.0,YES,82655.0,,,
172000,24513000,20657000,NO,25.0,8.0,7.0,YES,70143.0,,,
173000,20657000,23838000,NO,25.0,9.0,7.0,YES,76004.0,,,
174000,23838000,23831000,NO,25.0,12.0,12.0,YES,77413.0,,,
175000,23831000,23830000,NO,25.0,11.0,7.0,YES,53663.0,,,
176000,23830000,28061000,NO,25.0,14.0,9.0,YES,60621.0,,,
177000,28061000,23817000,NO,25.0,15.0,11.0,YES,61285.0,,,
178000,23817000,23811000,NO,25.0,8.0,6.0,YES,63026.0,,,
179000,23811000,23807000,NO,25.0,40.0,35.0,YES,70999.0,,,
180000,23807000,23799000,YES,25.0,23.0,23.0,YES,53263.0,BIKE ROUTE,,YES
180000,23807000,23799000,YES,25.0,23.0,23.0,YES,53263.0,BIKE ROUTE,,YES
181000,23799000,23796000,YES,25.0,0.0,0.0,NO,45762.0,BIKE ROUTE,,YES
181000,23799000,23796000,YES,25.0,0.0,0.0,NO,45762.0,BIKE ROUTE,,YES
182000,23796000,23586000,YES,25.0,0.0,0.0,NO,37282.0,BIKE ROUTE,,YES
182000,23796000,23586000,YES,25.0,0.0,0.0,NO,37282.0,BIKE ROUTE,,YES
183000,23586000,30021000,YES,30.0,0.0,0.0,NO,21931.0,BIKE ROUTE,,YES
183000,23586000,30021000,YES,30.0,0.0,0.0,NO,21931.0,BIKE ROUTE,,YES
184001,30021000,34155000,NO,30.0,0.0,,NO,16833.0,,,
184101,34155000,23579000,NO,25.0,0.0,,NO,15964.0,,,
184201,34155000,23579000,NO,25.0,0.0,,NO,15964.0,,,
185101,23579000,34157000,NO,25.0,0.0,,NO,15964.0,,,
185102,34157000,34159000,NO,25.0,0.0,,NO,8089.0,,,
185103,34159000,34161000,NO,25.0,0.0,,NO,12010.0,,,
185104,34161000,34162000,NO,30.0,0.0,,NO,15989.0,,,
185105,34162000,23578000,NO,25.0,0.0,,NO,19715.0,,,
185201,23579000,34157000,NO,25.0,0.0,,NO,15964.0,,,
185202,34157000,34159000,NO,25.0,0.0,,NO,8089.0,,,
185203,34159000,34161000,NO,25.0,0.0,,NO,12010.0,,,
185204,34161000,54090000,NO,25.0,0.0,,NO,15989.0,,,
185206,54091000,23578000,NO,25.0,0.0,,NO,19715.0,,,
185207,54090000,34162000,NO,25.0,,,,,,,
185208,34162000,54091000,NO,25.0,,,,,,,
186101,23578000,23572000,NO,30.0,0.0,,NO,29786.0,,,
186201,23578000,23572000,NO,30.0,0.0,,NO,29786.0,,,
187101,23572000,23570000,NO,30.0,0.0,0.0,NO,27777.0,,,
187201,23572000,23570000,NO,30.0,0.0,,NO,27777.0,,,
188101,23570000,23567000,NO,30.0,0.0,35.0,NO,27766.0,,,
188201,23570000,23567000,NO,30.0,0.0,,NO,27766.0,,,
189101,23567000,23564000,NO,30.0,0.0,0.0,NO,27869.0,,,
189201,23567000,23564000,NO,30.0,0.0,,NO,27869.0,,,
190101,23564000,23555000,NO,30.0,0.0,27.0,NO,36451.0,,,
190201,23564000,23555000,NO,30.0,0.0,,NO,36451.0,,,
191101,23555000,23551000,NO,30.0,0.0,36.0,NO,34066.0,,,
191201,23555000,23551000,NO,30.0,0.0,,NO,34066.0,,,
192101,23551000,23550000,NO,30.0,0.0,2.0,NO,24577.0,,,
192201,23551000,23550000,NO,30.0,0.0,,NO,24577.0,,,
193101,23550000,23541000,NO,30.0,0.0,20.0,NO,23270.0,,,
193201,23550000,23541000,NO,30.0,0.0,,NO,23270.0,,,
194101,23541000,23536000,NO,30.0,0.0,7.0,NO,23270.0,,,
194201,23541000,23536000,NO,30.0,0.0,,NO,23270.0,,,
195101,23536000,23535000,NO,30.0,0.0,1.0,NO,19311.0,,,
195201,23536000,23535000,NO,30.0,0.0,,NO,19311.0,,,
196000,23535000,20250000,NO,30.0,0.0,0.0,NO,22969.0,,,
197101,20250000,20247000,NO,30.0,0.0,,NO,26008.0,,,
197201,20250000,20247000,NO,30.0,0.0,,NO,26008.0,,,
198101,20247000,20234000,YES,30.0,0.0,0.0,NO,20738.0,BIKE ROUTE,,YES
198201,20247000,20234000,YES,30.0,0.0,,NO,20532.0,BIKE ROUTE,,YES
199101,20234000,20240000,YES,30.0,0.0,0.0,NO,24597.0,BIKE ROUTE,,YES
199201,20234000,20240000,YES,30.0,0.0,,NO,24597.0,BIKE ROUTE,,YES
200101,20240000,20244000,YES,30.0,0.0,0.0,NO,29826.0,BIKE ROUTE,,YES
200101,20240000,20244000,YES,30.0,0.0,0.0,NO,29826.0,BIKE ROUTE,,YES
200201,20240000,20245000,YES,30.0,0.0,0.0,NO,24597.0,BIKE ROUTE,,YES
200202,20245000,20244000,YES,30.0,0.0,,NO,29826.0,BIKE ROUTE,,YES
200202,20245000,20244000,YES,30.0,0.0,,NO,29826.0,BIKE ROUTE,,YES
201000,20244000,20239000,YES,30.0,0.0,0.0,YES,34982.0,BIKE ROUTE,,YES
201000,20244000,20239000,YES,30.0,0.0,0.0,YES,34982.0,BIKE ROUTE,,YES
202101,20239000,20238000,YES,30.0,0.0,7.0,NO,40270.0,BIKE ROUTE,,YES
202201,20239000,20238000,YES,30.0,0.0,,NO,40270.0,BIKE ROUTE,,YES
203101,20238000,20231000,YES,30.0,0.0,0.0,NO,32910.0,BIKE ROUTE,,YES
203201,20238000,20231000,YES,30.0,0.0,,NO,33398.0,BIKE ROUTE,,YES
204101,20231000,20227000,YES,30.0,0.0,0.0,NO,37357.0,BIKE ROUTE,,YES
204201,20231000,20227000,YES,30.0,0.0,,NO,37357.0,BIKE ROUTE,,YES
205101,20227000,20229000,YES,30.0,0.0,7.0,NO,40027.0,BIKE ROUTE,,YES
205201,20227000,20229000,YES,30.0,0.0,,NO,40027.0,BIKE ROUTE,,YES
206101,20229000,20230000,YES,30.0,0.0,0.0,NO,35497.0,BIKE ROUTE,,YES
206101,20229000,20230000,YES,30.0,0.0,0.0,NO,35497.0,BIKE ROUTE,,YES
206102,20230000,20219000,YES,30.0,0.0,0.0,NO,38085.0,BIKE ROUTE,,YES
206201,20229000,20219000,YES,30.0,0.0,,NO,39679.0,BIKE ROUTE,,YES
206201,20229000,20219000,YES,30.0,0.0,,NO,39679.0,BIKE ROUTE,,YES
207101,20219000,20223000,YES,30.0,0.0,0.0,NO,32545.0,BIKE ROUTE,,YES
207201,20219000,20223000,YES,30.0,0.0,,NO,33401.0,BIKE ROUTE,,YES
208101,20223000,20224000,YES,25.0,0.0,0.0,NO,48512.0,BIKE ROUTE,,YES
208201,20223000,20224000,YES,25.0,0.0,,NO,48512.0,BIKE ROUTE,,YES
209101,20224000,20213000,YES,25.0,0.0,0.0,NO,50774.0,BIKE ROUTE,,YES
209201,20224000,20213000,YES,25.0,0.0,,NO,50774.0,BIKE ROUTE,,YES
210101,20213000,20660000,YES,25.0,7.0,15.0,NO,54731.0,BIKE ROUTE,,YES
210201,20213000,20660000,YES,25.0,7.0,,NO,54731.0,BIKE ROUTE,,YES
211101,20660000,20659000,YES,25.0,8.0,15.0,NO,50534.0,BIKE ROUTE,,YES
211201,20660000,20659000,YES,25.0,7.0,,NO,50534.0,BIKE ROUTE,,YES
212101,20659000,33269000,YES,25.0,0.0,5.0,NO,52065.0,BIKE ROUTE,,YES
212201,20659000,33269000,YES,25.0,5.0,,NO,49494.0,BIKE ROUTE,,YES
213101,33269000,20496000,YES,25.0,8.0,16.0,NO,51885.0,BIKE ROUTE,,YES
213201,33269000,20496000,YES,25.0,8.0,,NO,54041.0,BIKE ROUTE,,YES
214101,20496000,20498000,YES,25.0,8.0,16.0,NO,54332.0,BIKE ROUTE,,YES
214201,20496000,20498000,YES,25.0,8.0,,NO,54332.0,BIKE ROUTE,,YES
215101,20498000,20500000,YES,25.0,9.0,15.0,NO,50978.0,BIKE ROUTE,,YES
215201,20498000,20500000,YES,25.0,7.0,,NO,50978.0,BIKE ROUTE,,YES
216101,20500000,20502000,YES,30.0,10.0,15.0,NO,51824.0,BIKE ROUTE,,YES
216201,20500000,20502000,YES,30.0,8.0,,NO,51013.0,BIKE ROUTE,,YES
217101,20502000,20508000,YES,30.0,2.0,0.0,NO,46204.0,BIKE ROUTE,,YES
217201,20502000,20508000,YES,30.0,2.0,,NO,46204.0,BIKE ROUTE,,YES
218101,20508000,20507000,YES,30.0,0.0,0.0,NO,42607.0,BIKE ROUTE,,YES
218201,20508000,20507000,YES,30.0,0.0,,NO,42607.0,BIKE ROUTE,,YES
219101,20507000,20504000,YES,30.0,0.0,0.0,NO,32141.0,BIKE ROUTE,,YES
219201,20507000,20504000,YES,30.0,0.0,,NO,32141.0,BIKE ROUTE,,YES
220101,20504000,33263000,YES,30.0,0.0,0.0,NO,34728.0,BIKE ROUTE,,YES
220101,20504000,33263000,YES,30.0,0.0,0.0,NO,34728.0,BIKE ROUTE,,YES
220102,33263000,20485000,YES,30.0,0.0,0.0,NO,37093.0,BIKE ROUTE,,YES
220201,20504000,20485000,YES,30.0,0.0,,NO,37934.0,BIKE ROUTE,,YES
220201,20504000,20485000,YES,30.0,0.0,,NO,37934.0,BIKE ROUTE,,YES
221101,20485000,20491000,YES,30.0,0.0,0.0,NO,29314.0,BIKE ROUTE,,YES
221201,20485000,20491000,YES,30.0,0.0,,NO,29314.0,BIKE ROUTE,,YES
222101,20491000,20493000,YES,30.0,0.0,13.0,NO,34663.0,BIKE ROUTE,,YES
222201,20491000,20493000,YES,30.0,0.0,,NO,34663.0,BIKE ROUTE,,YES
223101,20493000,20517000,YES,30.0,0.0,0.0,NO,33745.0,BIKE ROUTE,,YES
223201,20493000,20517000,YES,30.0,0.0,,NO,33745.0,BIKE ROUTE,,YES
224101,20517000,20489000,YES,30.0,0.0,0.0,NO,33897.0,BIKE ROUTE,,YES
224201,20517000,20489000,YES,30.0,0.0,,NO,34414.0,BIKE ROUTE,,YES
225101,20489000,20515000,YES,30.0,0.0,0.0,NO,27653.0,BIKE ROUTE,,YES
225101,20489000,20515000,YES,30.0,0.0,0.0,NO,27653.0,BIKE ROUTE,,YES
225102,20515000,20457000,YES,30.0,0.0,0.0,NO,33560.0,BIKE ROUTE,,YES
225201,20489000,20457000,YES,30.0,0.0,,NO,33560.0,BIKE ROUTE,,YES
225201,20489000,20457000,YES,30.0,0.0,,NO,33560.0,BIKE ROUTE,,YES
226101,20457000,20455000,YES,30.0,0.0,0.0,NO,27536.0,BIKE ROUTE,,YES
226201,20457000,20455000,YES,30.0,0.0,,NO,30279.0,BIKE ROUTE,,YES
227102,20455000,34020000,YES,30.0,0.0,0.0,NO,30806.0,BIKE ROUTE,,YES
227103,34020000,20472000,YES,30.0,0.0,0.0,NO,30806.0,BIKE ROUTE,,YES
227201,20455000,20472000,YES,30.0,0.0,,NO,30743.0,BIKE ROUTE,,YES
228101,20472000,20471000,YES,30.0,0.0,0.0,NO,31511.0,BIKE ROUTE,,
228201,20472000,20471000,YES,30.0,0.0,,NO,30743.0,BIKE ROUTE,,
229101,20471000,20473000,YES,30.0,0.0,0.0,NO,25642.0,BIKE ROUTE,,
229201,20471000,20473000,YES,30.0,0.0,,NO,28002.0,BIKE ROUTE,,
230101,20473000,20460000,YES,30.0,0.0,0.0,NO,31836.0,BIKE ROUTE,,NO
230101,20473000,20460000,YES,30.0,0.0,0.0,NO,31836.0,BIKE ROUTE,,
230201,20473000,20475000,YES,30.0,0.0,,NO,31836.0,BIKE ROUTE,,NO
230201,20473000,20475000,YES,30.0,0.0,,NO,31836.0,BIKE ROUTE,,
230202,20475000,20460000,YES,30.0,0.0,,NO,35665.0,BIKE ROUTE,,
231101,20460000,20466000,YES,30.0,0.0,6.0,NO,29554.0,BIKE ROUTE,,
231201,20460000,20466000,YES,30.0,0.0,,NO,33076.0,BIKE ROUTE,,
232101,20466000,20467000,YES,30.0,0.0,0.0,NO,28113.0,BIKE ROUTE,,
232201,20466000,20467000,YES,30.0,0.0,,NO,28113.0,BIKE ROUTE,,
233101,20467000,20465000,YES,30.0,0.0,0.0,NO,27147.0,BIKE ROUTE,,NO
233202,20467000,53010000,YES,25.0,0.0,0.0,NO,36810.0,BIKE ROUTE,,NO
238000,27588000,27587000,NO,25.0,0.0,0.0,NO,39009.0,,,
239000,27587000,27585000,NO,25.0,0.0,0.0,NO,41098.0,,,
240000,27585000,27250000,NO,25.0,17.0,48.0,NO,89370.0,,,
241000,27250000,27248000,NO,25.0,19.0,37.0,NO,92630.0,,,
242000,27248000,27242000,NO,25.0,9.0,33.0,NO,83614.0,,,
243000,27242000,27241000,NO,25.0,0.0,39.0,NO,87067.0,,,
244000,27241000,27238000,NO,25.0,0.0,33.0,NO,44002.0,,,
245000,27238000,27237000,NO,25.0,0.0,40.0,NO,46148.0,,,
246000,27194000,27082000,NO,25.0,0.0,0.0,NO,29798.0,,,
247000,27082000,27080000,NO,25.0,0.0,0.0,NO,37417.0,,,
248000,27080000,27072000,NO,25.0,0.0,23.0,NO,37417.0,,,
249000,24892000,24636000,NO,25.0,4.0,4.0,YES,236565.0,,,
250000,24636000,24635000,NO,25.0,0.0,11.0,YES,234293.0,,,
251000,24635000,24632000,NO,25.0,0.0,0.0,YES,228143.0,,,
252000,24632000,24631000,NO,25.0,0.0,0.0,YES,210320.0,,,
253000,24631000,24627000,NO,25.0,0.0,0.0,YES,194026.0,,,
254000,24627000,24589000,NO,25.0,18.0,10.0,YES,112476.0,,,
255000,24589000,23938000,NO,25.0,4.0,0.0,YES,88867.0,,,
256000,23938000,23911000,NO,25.0,12.0,4.0,YES,85868.0,,,
257000,23911000,23907000,NO,25.0,13.0,13.0,YES,74480.0,,,
258000,23907000,23906000,NO,25.0,14.0,14.0,YES,65165.0,,,
259000,23906000,23904000,NO,25.0,11.0,8.0,YES,66698.0,,,
260000,23904000,28064000,NO,25.0,18.0,17.0,YES,52231.0,,,
261000,28064000,23834000,NO,25.0,10.0,12.0,YES,56424.0,,,
262000,23834000,23833000,NO,25.0,14.0,13.0,YES,76416.0,,,
263000,23833000,23832000,NO,25.0,14.0,11.0,YES,62377.0,,,
264000,23832000,23827000,NO,25.0,8.0,6.0,YES,60993.0,,,
265000,23827000,23822000,NO,25.0,17.0,17.0,YES,53536.0,,,
266000,23822000,23821000,NO,25.0,6.0,4.0,YES,49038.0,,,
267001,23821000,23798000,YES,25.0,0.0,0.0,YES,52904.0,BIKE ROUTE,,NO
267001,23821000,23798000,YES,25.0,0.0,0.0,YES,52904.0,BIKE ROUTE,,NO
269000,23798000,23797000,YES,25.0,0.0,0.0,NO,45226.0,BIKE ROUTE,,NO
269000,23798000,23797000,YES,25.0,0.0,0.0,NO,45226.0,BIKE ROUTE,,NO
270002,23797000,23792000,YES,25.0,0.0,0.0,NO,35672.0,BIKE ROUTE,,NO
270002,23797000,23792000,YES,25.0,0.0,0.0,NO,35672.0,BIKE ROUTE,,NO
271000,23792000,50385000,YES,25.0,0.0,0.0,NO,27849.0,BIKE ROUTE,,NO
271000,23792000,50385000,YES,25.0,0.0,0.0,NO,27849.0,BIKE ROUTE,,NO
275000,51428000,27595000,NO,25.0,0.0,0.0,NO,23647.0,,,
276000,27595000,27594000,NO,25.0,0.0,0.0,NO,34428.0,,,
277000,27594000,27586000,NO,25.0,0.0,2.0,NO,34428.0,,,
278000,27586000,27251000,NO,25.0,12.0,38.0,NO,72369.0,,,
279000,27251000,27249000,NO,25.0,11.0,34.0,NO,77356.0,,,
280000,27249000,27244000,NO,25.0,6.0,35.0,NO,68127.0,,,
281000,27244000,27243000,NO,25.0,1.0,0.0,NO,69015.0,,,
282000,27243000,27240000,NO,25.0,0.0,0.0,NO,45248.0,,,
283000,27240000,27239000,NO,25.0,0.0,0.0,NO,40927.0,,,
284000,27196000,27085000,YES,25.0,0.0,0.0,NO,39396.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
284000,27196000,27085000,YES,25.0,0.0,0.0,NO,39396.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
285000,27085000,27083000,NO,25.0,0.0,0.0,NO,39632.0,,,
286000,27083000,27075000,NO,25.0,0.0,0.0,NO,41411.0,,,
287000,27075000,27074000,NO,25.0,2.0,0.0,NO,47252.0,,,
288000,27074000,50578000,NO,25.0,3.0,0.0,NO,52833.0,,,
289000,30739000,24888000,YES,25.0,7.0,7.0,NO,202673.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
289000,30739000,24888000,YES,25.0,7.0,7.0,NO,202673.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
290000,24888000,24885000,YES,25.0,3.0,0.0,NO,173440.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
290000,24888000,24885000,YES,25.0,3.0,0.0,NO,173440.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
291000,24885000,24884000,YES,25.0,1.0,0.0,NO,171697.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
291000,24885000,24884000,YES,25.0,1.0,0.0,NO,171697.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
292000,24884000,24634000,YES,25.0,1.0,0.0,NO,181805.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
292000,24884000,24634000,YES,25.0,1.0,0.0,NO,181805.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
293000,24634000,24633000,YES,25.0,5.0,6.0,NO,169198.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
293000,24634000,24633000,YES,25.0,5.0,6.0,NO,169198.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
294000,24633000,23945000,YES,25.0,5.0,2.0,NO,153532.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
294000,24633000,23945000,YES,25.0,5.0,2.0,NO,153532.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
295000,23945000,23944000,YES,25.0,6.0,4.0,NO,142998.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
295000,23945000,23944000,YES,25.0,6.0,4.0,NO,142998.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
296000,23944000,23940000,YES,25.0,7.0,7.0,NO,131899.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
296000,23944000,23940000,YES,25.0,7.0,7.0,NO,131899.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
297000,23940000,23939000,YES,25.0,11.0,9.0,NO,72179.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
297000,23940000,23939000,YES,25.0,11.0,9.0,NO,72179.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
298000,23939000,23937000,YES,25.0,6.0,4.0,NO,71774.0,BIKE ROUTE,GREEN-BACKED SHARROWS,YES
