gid,cnn_sgmt_pkey,street_name,street_type,full_street_name,street_layer,class_code,duel_car_way_yn,gis_length_miles,duel_car_way_id,corrected_length_miles,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,shape_length,sgmt_trnsprtn_pkey,daily_ride_qrt,daily_ride_eght,speed_avg_mta
10066,4336000,CONGO,ST,CONGO ST,STREETS,5,NO,0.053989651,0,0.053989658,22140000,22142000,110.1947614,3890,11906,3365,
10067,4337000,CONGO,ST,CONGO ST,STREETS,5,NO,0.05137933,0,0.051379371,22142000,22272000,104.863583,3891,10810,1659,18
10068,4338000,CONGO,ST,CONGO ST,STREETS,5,NO,0.049213666,0,0.049213673,22272000,22274000,100.4488174,3892,14655,5499,
10069,4339000,CONGO,ST,CONGO ST,STREETS,5,NO,0.040786306,0,0.040786298,22274000,22270000,83.24864963,3893,13222,3840,
10070,4340000,CONGO,ST,CONGO ST,STREETS,5,NO,0.068954909,0,0.06895492,22270000,33421000,140.744885,3894,13985,5646,
10071,4341000,CONGO,ST,CONGO ST,STREETS,5,NO,0.063625904,0,0.063625865,33421000,22264000,129.4951556,3895,12178,7685,
10072,4342000,CONGO,ST,CONGO ST,STREETS,5,NO,0.063813337,0,0.063813366,22264000,22267000,129.7365962,3896,16094,3840,
10073,4343000,CONKLING,ST,CONKLING ST,STREETS,5,NO,0.120969253,0,0.120969241,20745000,20767000,246.5176343,3897,32768,5731,
10074,4344000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.089718676,0,0.089718683,23788000,23684000,183.1969474,3898,15671,5168,
10075,4345000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.088419235,0,0.088419257,23684000,23682000,180.5404755,3899,17980,7436,
11456,4346000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.08800382,0,0.088003799,23682000,23679000,179.6896416,3900,21370,7192,
11457,4347000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.088459316,0,0.088459363,23679000,23670000,180.6162711,3901,20335,5507,
11458,4348000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.088170545,0,0.088170517,23670000,23666000,180.0235896,3902,18623,5337,
