latitude,longitude,Severity,Hour,Lane
37.78287968,-122.420931,0,17,No
37.76759524,-122.4311911,1,16,No
37.77750971,-122.433067,0,8,Yes
37.76849315,-122.4290375,1,14,No
37.77694299,-122.3947984,0,20,Yes
37.77379443,-122.4041379,0,13,Yes
37.76491738,-122.4218864,1,11,No
37.73148261,-122.4991297,1,16,Yes
37.76986002,-122.4223641,1,13,Yes
37.77528163,-122.3972704,1,7,Yes
37.77208039,-122.4457167,2,23,No
37.76711803,-122.4066747,1,17,No
37.78015038,-122.4473653,0,15,No
37.80216427,-122.4230228,2,7,Yes
37.77334571,-122.4357515,0,7,Yes
37.79080538,-122.3995045,1,17,Yes
37.77363347,-122.4259578,1,8,Yes
37.79125649,-122.4007601,0,23,Yes
37.71181556,-122.4456641,1,19,No
37.77619041,-122.4585046,0,11,Yes
37.76601901,-122.4307283,0,9,No
37.76945613,-122.429128,0,19,No
37.71565831,-122.4508153,0,21,No
37.77841628,-122.4099382,1,11,Yes
37.78223395,-122.4416716,2,9,No
37.72723777,-122.4666814,0,17,Yes
37.77216731,-122.437519,2,17,Yes
37.784053,-122.4116456,1,8,No
37.77181713,-122.4016567,0,6,Yes
37.78423574,-122.4177068,0,2,No
37.7642719,-122.4609577,0,18,No
37.76654458,-122.3950605,1,17,Yes
37.78543304,-122.419639,0,19,No
37.79057826,-122.4206874,1,19,No
37.7149845,-122.4560727,0,18,No
37.77978279,-122.4302332,1,8,No
37.77281359,-122.4788583,0,17,No
37.78221824,-122.4014026,1,22,No
37.77965963,-122.4387402,2,2,No
37.77855124,-122.4012406,1,18,Yes
37.76649236,-122.4105708,0,10,No
37.7533964,-122.4207839,0,21,Yes
37.76932091,-122.4313566,1,16,Yes
37.7236219,-122.4007871,3,19,Yes
37.77463235,-122.48004,0,22,No
37.75128853,-122.4061329,1,16,Yes
37.7959454,-122.4217682,1,17,Yes
37.71065786,-122.4313658,1,15,No
37.77748233,-122.4995906,0,15,No
37.76991755,-122.4209386,0,16,No
37.77188246,-122.4233991,1,8,Yes
37.77188564,-122.4233968,2,1,Yes
37.78153507,-122.4239221,1,17,No
37.76853739,-122.4156138,1,6,Yes
37.80298763,-122.4316224,1,18,Yes
37.7775825,-122.4552175,1,15,No
37.7714395,-122.4134949,0,22,Yes
37.75526822,-122.4214352,0,20,No
37.76419571,-122.4330745,1,17,No
37.77191507,-122.4015327,1,9,Yes
37.77967359,-122.4235413,0,15,No
37.77930712,-122.501871,0,19,No
37.77329782,-122.4361287,3,6,Yes
37.77152958,-122.4020207,0,12,Yes
37.7597705,-122.4213935,1,14,Yes
37.71607943,-122.4445631,2,9,Yes
37.79976547,-122.444516,0,7,No
37.75172621,-122.4062194,1,16,Yes
37.71575345,-122.4415543,1,8,No
37.7755993,-122.4480679,1,12,No
37.78195858,-122.4206555,1,19,No
37.77997434,-122.4287314,0,12,No
37.77729986,-122.4196936,1,14,No
37.7858929,-122.4197387,3,2,Yes
37.7769096,-122.4036151,0,16,No
37.7896316,-122.4053987,1,21,No
37.77875221,-122.4716386,0,14,No
37.7998475,-122.3983781,1,8,Yes
37.78862504,-122.4021086,0,9,Yes
37.77480878,-122.4009816,1,17,No
37.78922561,-122.408595,1,18,Yes
37.765554,-122.4197174,1,13,No
37.79101665,-122.3991486,0,17,No
37.77313895,-122.4717621,1,8,No
37.76488228,-122.4218831,0,11,Yes
37.78742928,-122.403621,1,14,Yes
37.7331529,-122.4656587,0,11,Yes
37.78858659,-122.4135391,1,19,No
37.78216927,-122.4189933,0,10,No
37.77524739,-122.4583738,0,15,No
37.77800811,-122.4216219,0,15,Yes
37.76148664,-122.4759063,1,17,No
37.78944312,-122.4144047,0,22,No
37.76175942,-122.4101182,0,17,No
37.76464569,-122.4263817,0,12,No
37.77922201,-122.4109235,0,1,No
37.78624815,-122.4020254,0,6,No
37.74776192,-122.403561,0,17,Yes
37.76354999,-122.4173303,0,16,No
37.74428345,-122.3957336,0,16,No
37.77315738,-122.4372348,1,10,Yes
37.77753467,-122.4130599,1,22,No
37.77933316,-122.4587316,0,21,No
37.77965963,-122.4387402,1,21,No
37.78878007,-122.4423027,1,13,No
37.76924401,-122.4080072,1,11,Yes
37.77986743,-122.4028893,0,12,Yes
37.76141699,-122.4260677,1,16,No
37.75816052,-122.4212387,0,20,Yes
37.74816569,-122.4182212,1,21,Yes
37.76968072,-122.4494973,0,18,No
37.7866474,-122.4439014,1,11,No
37.76139528,-122.4266039,1,15,No
37.7729383,-122.4458908,1,18,Yes
37.76831935,-122.4192249,0,9,Yes
37.76591669,-122.478259,0,10,No
37.77651355,-122.4175754,1,10,Yes
37.78899526,-122.4406236,0,11,No
37.76419571,-122.4330745,0,16,No
37.78882254,-122.4419713,1,16,No
37.75853818,-122.4637815,0,17,No
37.78139813,-122.4092454,0,23,No
37.78478353,-122.3957534,0,15,Yes
37.72291472,-122.4474821,1,14,Yes
37.77721049,-122.4072542,1,10,Yes
37.77739963,-122.4070148,1,8,Yes
37.76835742,-122.4185946,0,15,Yes
37.77551415,-122.406296,0,4,Yes
37.76595059,-122.4288021,0,20,No
37.74531207,-122.4200689,1,7,No
37.7421936,-122.4265273,0,8,No
37.74311739,-122.4214889,0,7,No
37.76835372,-122.4078135,1,23,No
37.77243046,-122.4429597,2,19,No
37.78872115,-122.4020657,1,8,Yes
37.77860605,-122.414955,0,9,Yes
37.79320292,-122.4000073,1,11,No
37.76849987,-122.5076538,0,11,Yes
37.78846805,-122.4023071,1,13,Yes
37.77309281,-122.4032574,0,14,Yes
37.76328599,-122.4217302,2,15,Yes
37.76227913,-122.4386131,1,17,Yes
37.8080251,-122.4173495,1,17,No
37.77978279,-122.4302332,1,6,No
37.72505482,-122.4134686,0,16,No
37.79461081,-122.4035703,2,15,No
37.78168027,-122.4067112,1,8,No
37.74976047,-122.3962749,0,7,No
37.7908288,-122.399474,0,17,Yes
37.75450824,-122.4131738,2,16,No
37.76491738,-122.4218864,2,18,No
37.73103236,-122.4717974,0,14,No
37.74637652,-122.4223107,1,8,No
37.76952604,-122.4507102,1,17,No
37.79629077,-122.4117189,0,17,Yes
37.78026013,-122.4185985,0,15,Yes
37.77065354,-122.4124499,1,19,No
37.76626553,-122.4288319,1,16,No
37.71941761,-122.4388219,1,11,No
