case,latitude,longitude,collision_time
2347552,37.77245173,-122.4352892,17:56
2347580,37.77123891,-122.4372705,20:00
2347824,37.78287968,-122.420931,17:40
2378948,37.76759524,-122.4311911,16:25
2378981,37.77750971,-122.433067,08:04
2382577,37.76849315,-122.4290375,14:21
2384171,37.77694299,-122.3947984,20:15
2384176,37.77379443,-122.4041379,13:45
2384184,37.76491738,-122.4218864,11:55
2384271,37.73148261,-122.4991297,16:13
2384319,37.76986002,-122.4223641,13:24
2392246,37.77528163,-122.3972704,07:45
2392248,37.77208039,-122.4457167,23:50
2394300,37.76711803,-122.4066747,17:03
2394312,37.78015038,-122.4473653,15:53
2395768,37.80216427,-122.4230228,07:50
2395786,37.77334571,-122.4357515,07:15
2395794,37.79080538,-122.3995045,17:36
2395827,37.77363347,-122.4259578,08:20
2395831,37.79125649,-122.4007601,23:35
2395835,37.71181556,-122.4456641,19:30
2395855,37.77619041,-122.4585046,11:30
2395898,37.76601901,-122.4307283,09:04
2409224,37.76945613,-122.429128,19:30
2409274,37.71565831,-122.4508153,21:27
2409279,37.77841628,-122.4099382,11:49
2409281,37.78223395,-122.4416716,09:45
2409287,37.72723777,-122.4666814,17:55
2409293,37.77216731,-122.437519,17:54
2413887,37.784053,-122.4116456,08:24
2413914,37.77181713,-122.4016567,06:22
2414203,37.78423574,-122.4177068,02:43
2415050,37.7642719,-122.4609577,18:25
2415091,37.76654458,-122.3950605,17:45
2566318,37.78543304,-122.419639,19:25
2415115,37.79057826,-122.4206874,19:40
2415119,37.7149845,-122.4560727,18:55
2415137,37.77978279,-122.4302332,08:10
2415152,37.77281359,-122.4788583,17:15
2415160,37.78221824,-122.4014026,22:05
2415265,37.77965963,-122.4387402,02:20
2415928,37.77855124,-122.4012406,18:30
2416045,37.76649236,-122.4105708,10:28
2416053,37.7533964,-122.4207839,21:20
2416069,37.76932091,-122.4313566,16:00
2417156,37.7236219,-122.4007871,19:44
2425498,37.77463235,-122.48004,22:41
2434128,37.75128853,-122.4061329,16:44
2434282,37.7959454,-122.4217682,17:25
2434283,37.71065786,-122.4313658,15:40
2434286,37.77748233,-122.4995906,15:25
