cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,Cluster_x,Cluster_y,Score_y2,Scale_Score_y2
8374201,27745000,27747000,NO,35.0,0.0,0.0,NO,12163.0,missing,missing,missing,6.0,1.0,0.00037639394244460693,65.38919220898299
8375101,27747000,27790000,NO,35.0,0.0,0.0,NO,12355.0,missing,missing,missing,1.0,4.0,0.00043261689829934586,66.63294791323843
8375201,27747000,27790000,NO,35.0,0.0,0.0,NO,10428.0,missing,missing,missing,1.0,4.0,0.00043261689829934586,66.63294791323843
8376101,27790000,27791000,NO,35.0,0.0,0.0,NO,8686.0,missing,missing,missing,4.0,4.0,0.0004693095507124922,67.36026345549541
5660000,24519000,24514000,YES,25.0,33.0,33.0,YES,59616.0,BIKE LANE,missing,NO,0.0,5.0,7.341648377626044e-05,50.786705760545075
5663000,24586000,23938000,YES,25.0,12.0,12.0,YES,82035.0,BIKE LANE,missing,NO,2.0,5.0,7.504600185547172e-05,50.98283168932153
5664000,23938000,23937000,YES,25.0,42.0,42.0,YES,100764.0,BIKE LANE,GREEN PAINT,NO,5.0,0.0,7.959579357272575e-05,51.50868559977944
5665000,23937000,23936000,YES,25.0,30.0,28.0,YES,57978.0,BIKE LANE,GREEN PAINT,NO,0.0,4.0,7.379176398161453e-05,50.832256934232845
5666000,23936000,23941000,YES,25.0,25.0,22.0,YES,54732.0,BIKE LANE,GREEN PAINT,NO,4.0,5.0,7.787483409933414e-05,51.31340302502112
5667000,23941000,23924000,YES,25.0,0.0,9.0,YES,55190.0,BIKE LANE,GREEN-BACKED SHARROWS,YES,5.0,3.0,0.0003086058209238801,63.6151576996113
8376201,27790000,27791000,NO,35.0,0.0,25.0,NO,8686.0,missing,missing,missing,4.0,4.0,0.0003464955997756531,64.6497604341883
8377101,27791000,27792000,NO,35.0,0.0,0.0,NO,8686.0,missing,missing,missing,4.0,4.0,0.0004693095507124922,67.36026345549541
8377201,27791000,27792000,NO,35.0,0.0,0.0,NO,8686.0,missing,missing,missing,4.0,4.0,0.0004693095507124922,67.36026345549541
8378101,27792000,27804000,NO,35.0,0.0,0.0,NO,5230.0,missing,missing,missing,4.0,6.0,0.0008123610868976933,72.26218228639439
8378201,27792000,27804000,NO,35.0,0.0,0.0,NO,5230.0,missing,missing,missing,4.0,6.0,0.0008123610868976933,72.26218228639439
8379101,27804000,27805000,NO,35.0,0.0,0.0,NO,3291.0,missing,missing,missing,6.0,4.0,0.000742217211384547,71.4554168965588
8379201,27804000,27805000,NO,35.0,0.0,0.0,NO,3291.0,missing,missing,missing,6.0,4.0,0.000742217211384547,71.4554168965588
8380101,27805000,27808000,NO,35.0,0.0,0.0,NO,3920.0,missing,missing,missing,4.0,4.0,0.0006925181325586064,70.83622472704913
8380201,27805000,27808000,NO,35.0,0.0,0.0,NO,3920.0,missing,missing,missing,4.0,4.0,0.0006925181325586064,70.83622472704913
8381101,27808000,27809000,NO,35.0,0.0,0.0,NO,3920.0,missing,missing,missing,4.0,6.0,0.0008375197200610227,72.53466769656595
5679000,24246000,24234000,YES,25.0,0.0,18.0,YES,64721.0,BIKE LANE,GREEN PAINT,NO,2.0,3.0,0.0001876940409360405,59.17272030690138
5680000,24234000,24233000,YES,25.0,0.0,15.0,YES,68541.0,BIKE LANE,GREEN PAINT,NO,3.0,3.0,0.00018737309586374772,59.15743067882036
